search_role,job_title,company_name,experience,location,skills,posted_date,job_link
Backend Developer,Backend Developer,Morpich Design,0-3 yrs,Surat,"Computer science, Backend, Data modeling, data manipulation, Django, MySQL, Web development, Cloud",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-morpich-design-surat-0-to-3-years-240524500186
Backend Developer,Backend Developer,Acetrot,0-2 yrs,Mumbai,"Backend, Development, Backend Development",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-acetrot-mumbai-0-to-2-years-090824502206
Backend Developer,Backend Developer,Dream Wealth Research,0-2 yrs,Amod,"Backend, C, Sales, Debugging, Deployment, German, Testing, Software testing",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-dream-wealth-research-amod-0-to-2-years-190525502367
Backend Developer,Backend Developer,Ambion Softwares,0-2 yrs,Erode,"web application architecture, dbms, jquery, sql, database design, java, git, ruby rails",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-ambion-softwares-erode-0-to-2-years-040724500476
Backend Developer,Backend Developer,Encoresky Technologies,0-2 yrs,Indore,"Backend, Backend Development, Development",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-encoresky-technologies-pvt-ltd-indore-0-to-2-years-150925503367
Backend Developer,Backend Developer,Startelelogic,0-3 yrs,Noida,"Backend, Front end, Version control, Networking, Postgresql, MySQL, Web development, PHP",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-startelelogic-noida-0-to-3-years-190625503274
Backend Developer,Backend Developer,Seyon Business Innovation,0-1 yrs,Coimbatore,"Backend, NoSQL, Enterprise applications, Javascript, SQL, Python, Development, Enterprise",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-seyon-business-innovation-coimbatore-0-to-1-years-101225501807
Backend Developer,Backend Developer,Walk Digitally,0-2 yrs,Bhubaneswar,"innovation, excel, stakeholder management, multitasking, analytical skills, work ethics, Ethics, Backend",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-walk-digitally-bhubaneswar-0-to-2-years-301225506253
Backend Developer,BackEnd Developer,Clikipedia,0-1 yrs,Kolkata,"rest, python, web application architecture, dbms, backend development, javascript, jquery, sql",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-clickipedia-kolkata-0-to-1-years-050225504069
Backend Developer,Backend Developer,Mittal Alliance Industries,1-3 yrs,Indore,"algorithms, css, web application, hibernate, scalability, jquery, sql, microservices",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-mittal-alliance-industries-private-limited-indore-1-to-3-years-260226504545
Backend Developer,Backend Developer,Being Billionaire Consultancy Services,0-2 yrs,Lucknow,"Backend, Front end, Web technologies, Testing, Front, Backend Development, Development, Software testing",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-being-billionaire-consultancy-services-lucknow-0-to-2-years-031024503143
